0.1;Bond to Dhawan;FOUR;4; too quick down the leg side, Dhawan gets a tickle fine
0.2;Bond to Dhawan;no run;4; better line, around off, hit one bounce to cover
0.3;Bond to Dhawan;no run;4; short, angling away, Babu [Dhawan] looks to cut, gets a bottom edge through to Saha
0.4;Bond to Dhawan;FOUR;8; lovely shot, poor bowling! full and wide, Dhawan gets across, on a knee, and elegantly extra-cover-drives it
0.5;Bond to Dhawan;no run;8; tucks him up with a short delivery, played towards square leg
0.6;Bond to Dhawan;FOUR;12; another nice shot, there is not much room on the cut shot, but he hits it powerfully into the ground, and it then bounces over the ring of cover fielders
1.1;Sharma to Tendulkar;no run;12; wide outside off, Tendulkar shoulders arms
1.2;Sharma to Tendulkar;FOUR;16; what a shot! half-volley on middle stump, and he just meets it, and the on-drive goes flying across the outfield
1.3;Sharma to Tendulkar;no run;16; shorter outside off, and he lets it go through
1.4;Sharma to Tendulkar;no run;16; drives in front of his body, straight to mid-off
1.5;Sharma to Tendulkar;FOUR;20; what an outfield this is, he mis-hits a drive outside off, but it goes fast across the turf, beats mid-off and goes for four
1.6;Sharma to Tendulkar;FOUR;24; lovely shot again, this time he hits the drive well, opening the face on it, and placing it between mid-off and extra cover - all runs so far have cone in six boundaries
2.1;Gayle to Dhawan;no run;24; short, around off, hit to point
2.2;Gayle to Dhawan;1 run;25; slightly back of  a length, punched down to long-off for a single
2.3;Gayle to Tendulkar;1 wide;26; fired full and wide down the leg side, Tendulkar misses the vertical sweep, which would have got four
2.3;Gayle to Tendulkar;1 wide;27; fired even further down the leg side
2.3;Gayle to Tendulkar;1 run;28; flighted around off, pushed down to long-on
2.4;Gayle to Dhawan;1 run;29; short of a length, and punched down to long-off for a single
2.5;Gayle to Tendulkar;2 runs;31; full ball, driven with an open face, Mathews at cover gets a bad bounce off a practice wicket and gives away an extra run
2.6;Gayle to Tendulkar;no run;31; what a save by Mathews, he has saved four here, was a crunchy extra-cover drive but Mathews dived to his right from cover - full-length - and doesn't even give away a single, so quick is he to get the ball back
3.1;Sharma to Dhawan;no run;31; back of a length, no room, defended to cover
3.2;Sharma to Dhawan;1 run;32; driven straight to Harpreet at cover and comes through for one
3.3;Sharma to Tendulkar;FOUR;36; bad bounce surely, Mathews is getting all of it! Punched off the back foot, two cover fielders, Karthik and Mathews have it covered, but it hits the edge of the practice wicket inside the circle, and spins away - going by the form Tendulkar has been over the last two years, he might even have intended it thus
3.4;Sharma to Tendulkar;FOUR;40; poor bowling, tries the bouncer, but there is no sting it, Tendulkar gets inside the line and pulls it over short fine
3.5;Sharma to Tendulkar;FOUR;44; Ishant is being taken to school here, bowls another bouncer at Tendulkar - at his pace, seriously? - and Tendulkar pulls it over midwicket, what a crunchy shot
3.6;Sharma to Tendulkar;1 wide;45; slower ball, wide down the leg side
3.6;Sharma to Tendulkar;no run;45; hit to point, and Tendulkar decides against the single, both originally and also off the overthrow
4.1;Gayle to Dhawan;1 run;46; swept from way outside off, gets a single to deep midwicket
4.2;Gayle to Tendulkar;FOUR;50; whipped away from the middle stump, all along the ground, and between midwicket and square leg - and it's a small gap, picked to perfection - fifty up in 4.2
4.3;Gayle to Tendulkar;no run;50; and again, this time he finds midwicket, though
4.4;Gayle to Tendulkar;no run;50; makes room for the cut, but gets a bottom edge on the shot
4.5;Gayle to Tendulkar;1 run;51; full, driven down to long-on for a single
4.6;Gayle to Dhawan;no run;51; punched to extra-cover, no run
5.1;Bond to Tendulkar;1 run;52; starts off with a slower ball, around off, takes a single to cover
5.2;Bond to Dhawan;no run;52; full ball, slightly swinging in to Dhawan, defended back to him
5.3;Bond to Dhawan;no run;52; full ball, pushed to point
